index,id,item,parent
CS-02-04-31,Jkxir0I,"Understand the various types of anesthetics and muscle relaxants, and the principles of their use.",JnICVUI
CS-02-04-32,Jkxir0M,"Understand the indications, contraindications, methods, accidents, and complications of inhalation and intravenous anesthesia.",JnICVUI
CS-02-04-33,JtPHhOM,"Understand airway management techniques, including tracheal intubation.",JnICVUI
CS-02-04-34,Jkxir0g,"Understand nutritional assessment, care, and management, the role of nutrition support teams, and nutritional therapies for specific diseases.",JnICVUI
CS-02-04-35,Jkxir0o,"Understand the indications, methods, and complications of parenteral and enteral nutrition, and precautions for long-term administration.",JnICVUI
CS-02-04-36,Jkxir0w,Understand an overview of the major types of medical devices and their principles of operation.,JnICVUI
CS-02-04-37,Jkxir00,Understand an overview of the major types and principles of artificial organs.,JnICVUI
CS-02-04-38,Jkxir04,Understand the types and indications of blood products and fractionated plasma products.,JnICVUI
CS-02-04-39,Jkxir1A,"Understand adverse reactions to blood transfusions, transfusion record-keeping requirements, and procedures to prevent incompatible blood transfusions.",JnICVUI
CS-02-04-40,Jkxir1E,"Understand appropriate use of blood transfusion, component transfusion, autologous transfusion, and emergency transfusion.",JnICVUI
CS-02-04-41,Jkxir1I,"Understand an overview of transplantation medicine (organ transplantation, tissue transplantation, hematopoietic stem cell transplantation, etc.) and how it is practiced both in Japan and overseas.",JnICVUI
CS-02-04-42,Jkxir1M,Understand an overview of the principles of discussing organ and tissue donation options in end-of-life care.,JnICVUI
CS-02-04-43,Jkxir1Q,"Understand immune response in transplantation (rejection, graft-versus-host disease).",JnICVUI
CS-02-04-44,Jkxir1U,Understand an overview of immunosuppressive therapy after transplantation.,JnICVUI
CS-02-04-45,Jkxir1Y,Understand the concept and indications for rehabilitation.,JnICVUI
CS-02-04-46,Jkxir1g,Assess functional impairment and activities of daily living.,JnICVUI
CS-02-04-47,Jkxir1k,"Understand an overview of physiotherapy, occupational therapy, and speech-language-hearing therapy.",JnICVUI
CS-02-04-48,Jkxir1o,"Understand an overview of the major walking aids, wheelchairs, prostheses (artificial limbs and feet), and orthotics.",JnICVUI
CS-02-04-49,Jkxir20,Develop a basic treatment plan for medical conditions in the basic medical departments/specialties ([@tbl:TBL0400]).,JnICVUI
CS-02-05-01,Jkxir28,Formulate plans for patient education in major diseases.,JnICVUM
CS-03-01-01,Jkxir3E,Perform basic clinical procedures related to investigation ([@tbl:TBL0700]).,JnICVUU
CS-03-02-01,Jkxir3I,Perform basic clinical procedures related to treatment ([@tbl:TBL0700]).,JnICVUY
CS-03-03-01,Jkxir3Q,Recognize patients who are in a critical condition on the basis of vital and physical signs.,JnICVUg
CS-03-03-02,Jkxir3U,Perform basic life support.,JnICVUg
CS-03-03-03,Jkxir3Y,Assist in performing initial response (including advanced life support) for common critical conditions.,JnICVUg
CS-03-03-04,Jkxir3k,Assist in the initial response to trauma.,JnICVUg
CS-03-03-05,Jkxirvw,Assist in the response to anaphylactic shock.,JnICVUg
CS-03-04-01,Jkxir3o,Draft various types of medical certificates and patient referral documents.,JnICVUk
CS-03-04-02,Jkxir3s,Draft various certificates of postmortem examination.,JnICVUk
CS-03-05-01,Jkxir4Q,Understand how to consult with other basic medical departments/specialties ([@tbl:TBL0400]).,JnICVUo
CS-03-05-02,Jkxir40,"Understand the prevention, evaluation, and treatment of pressure ulcers.",JnICVUo
CS-03-06-01,Jkxir48,Present appropriately at clinical conferences and case review meetings.,JnICVUs
CS-03-06-02,Jkxir5E,Report information obtained from medical consultations and examinations to senior physicians in a clear and concise manner.,JnICVUs
CS-04-01-01,Jkxir5I,Participate in morbidity and mortality (M&M) conferences and express one’s own opinions.,JnICVU0
CS-04-01-02,Jkxir5M,Participate in clinico-pathological conferences (CPC) and express one’s own opinions.,JnICVU0
CS-05-01-01,JkxoFEA,"Understand the importance of improving medical care using quality improvement methods, and acquire a focus on continuous evaluation and improvement.",JnICVU4
CS-05-02-01,JkxoFEE,"Practice the health management (lifestyle improvements, vaccination, measures to reduce radiation exposure) and occupational infection control (tuberculosis screening, vaccination) measures expected of medical professionals.",JnICVVA
CS-05-02-02,JkxoFEM,"Understand the need to improve the working environment for all healthcare professionals, including oneself, and strive to make such improvements.",JnICVVA
CS-05-03-01,JkxoFD4,"Understand an overview of the management system for patient safety and the roles within the system (risk manager, patient safety management committee, etc.).",JnICVVE
CS-05-03-02,JlBpVX0,"Understand criminal and civil liability related to medical errors and administrative penalties under the Medical Practitioners’ Act (July 30, 1948).",JnICVVE
CS-05-04-01,JkxoFD8,"Understand the role and significance of systems related to healthcare-associated infections (hospital infection control committee, nosocomial infection surveillance, infection control team, infection control manual, etc.), and participate in those systems.",JnICVVM
CS-05-04-02,JkxoFEI,Explain the need for and practice standard precautions.,JnICVVM
CS-05-04-03,JlBpVX4,Respond appropriately when encountering a needlestick accident or exposure to bodily fluids.,JnICVVM
CS-05-05-01,JlBpVX8,"Practice basic precautions (patient identification, double-checking, checklist method, alerting patients to drugs with similar names, fail-safe/fail-proof concepts, etc.).",JnICVVQ
CS-05-05-02,JkxoFD0,"Share information on patient safety (adverse drug reactions, drug-related accidents, medical errors, what not to do, good practice, etc.) and analyze the information for post-procedural use.",JnICVVQ
CS-05-06-01,JkxoFDo,Understand and act on the importance of patient safety management for individuals and organizations.,JnICVVY
CS-05-06-02,JkxoFDs,"Understand the importance of medical records, and document and handle them appropriately.",JnICVVY
CS-05-06-03,JlBpRvs,Respond to inquiries with sincerity.,JnICVVY
CS-05-06-04,JlBpRvw,"Respond to, record, and report medical incidents[1] when they occur.",JnICVVY
CM-01-01-01,Jli9Pdc,Demonstrate verbal communication skills to build good relationships.,JnICfjk
CM-01-01-02,Jli9Pdk,"Demonstrate awareness of nonverbal communication (professional appearance, eye contact, facial expressions, gestures, etc.).",JnICfjk
CM-01-01-03,JkxhhVw,Be respectful with language and in attitude when interacting with patients and family members.,JnICfjk
CM-01-01-04,JkxhhVs,"Communicate with awareness of the psychological factors (positive and negative emotions, etc.) involved in interpersonal relationships.",JnICfjk
CM-01-01-05,JkxhhVo,"Listen to patients and their family members, and state facts and express opinions in a way that they can understand.",JnICfjk
CM-01-02-01,JkxhhV4,"Show full consideration of the mental, physical, and social distress and suffering that patients and their family members are experiencing.",JnICfjs
CM-01-02-02,JkxhhWA,"Listen closely to patients and their family members, and understand and show empathy toward their feelings, such as anger, sadness, and anxiety.",JnICfjs
CM-02-01-01,JkxhhWI,"Communicate with consideration for the diversity of patients and their family members (elderly, children, disabled, LGBTQ, nationality, race, and cultural, linguistic, and customary differences, etc.).",JnICfjw
CM-02-01-02,JkxhhWM,"Explain concepts in simple terms, using as little jargon as possible to help patients to understand more easily.",JnICfjw
CM-02-02-01,JkxhhWQ,"Share information and opinions with patients and their family members, and support decision-making based on understanding and consent.",JnICfj4
CM-02-03-01,JmiwFHw,Understand issues that hinder patients’ self-decision-making.,JnICfj8
CM-02-03-02,JmiwFH8,Respect the patient’s experience and listen to them attentively so that they can make their beliefs and values clear.,JnICfj8
CM-02-03-03,JmiwFIA,"Explain the best available evidence in an easy-to-understand manner, using as little jargon as possible to support patient decision-making.",JnICfj8
CM-02-03-04,JmiwFII,Plan a treatment plan based on goals consistent with the patient’s values.,JnICfj8
CM-03-01-01,JmiwmlM,Assess the patient’s psychological and social background and their needs for independent living.,JnICfkE
CM-03-01-02,JmiwmlQ,Identify and organize issues and problems that the patient may have.,JnICfkE
CM-03-01-03,JmiwmlU,"Gather necessary information from the patient’s proxy, representative, or guardian when no information can be obtained from the patient.",JnICfkE
CM-03-02-01,JmiwtUk,Communicate with the patient from the viewpoint of family and community.,JnICfkI
CM-03-02-02,JmiwtUo,Participate in medical treatment that takes into account psychological and social backgrounds.,JnICfkI
CM-03-02-03,JkxhhXA,"Understand the uncertainties inherent in medicine, and demonstrate the appropriate actions and attitude.",JnICfkI
IP-01-01-01,Jkxp2HY,Share information related to patients and families with students of other disciplines and medical faculties.,JnIB3j0
IP-01-02-01,Jkxp2Hg,"Explain, respond, and ask questions with respect for the roles and opinions of students of other disciplines and medical faculties.",JnIB3kA
IP-01-03-01,Jkxp2Ho,"Refer and consult with appropriate facilities, specialties, and physicians for appropriate diagnosis, testing, and treatment.",JnIB3kE
IP-01-03-02,Jkxp2Hw,Share ideas and expectations among physicians to ensure continuity of patient care and physician accountability.,JnIB3kE
IP-02-01-01,Jkxp2H0,Communicate one’s knowledge and values to students of other disciplines and medical faculties.,JnIB3kM
IP-02-01-02,Jkxp2H4,Fulfill one’s own role among students of other disciplines and medical faculties.,JnIB3kM
IP-02-02-01,Jkxp2IE,Learn and develop together with students of other disciplines and medical faculties.,JnIB3kQ
IP-02-02-02,Jkxp2Is,Understand concepts related to interpersonal relationships and interpersonal behavior.,JnIB3kQ
IP-02-03-01,Jkxp2IQ,Explain the role of the physician to students of other disciplines and medical faculties.,JnIB3kY
IP-02-03-02,Jk314Eo,"Relate one’s own values, words, and actions to those of students of other disciplines and medical faculties.",JnIB3kY
IP-02-04-01,Jkxp2IY,"Understand the roles of other professions according to their work environment (hospital, clinic, care facility, etc.) or other affiliations (team, department, etc.).",JnIB3kc
SO-01-01-01,JkxoNsc,Understand the concept of public health.,JnH_3oE
SO-01-01-02,JlwC0qE,Understand the concept of cohesive and connected society.,JnH_3oE
SO-01-01-03,JkxoNsg,Understand the stages of prevention and their strategies.,JnH_3oE
SO-01-01-04,JkxoNsk,"Contribute to public health activities (health checkups, health promotion events, etc.) and understand their significance.",JnH_3oE
SO-01-02-01,JkxoNso,"Understand the significance and overview of basic human rights related to health (e.g., the right to life) and social security (social insurance, social welfare, and public assistance.)",JnH_3oM
SO-01-02-02,JkxoNsw,"Discuss ideas for improving social insurance, including pension, long-term care, and medical insurance as universal health coverage, understanding their structures and problems.",JnH_3oM
SO-01-02-03,JkxoNs0,"Understand an overview of welfare for people with disabilities, including relevant laws such as the Act on Providing Comprehensive Support for the Daily Life and Life in Society of Persons with Disabilities (June 27, 2012).",JnH_3oM
SO-01-03-01,JkxoNs4,"Understand the roles of public health centers, community and municipal health centers, and regional institutes for hygienic and environmental sciences.",JnH_3oU
SO-01-03-02,JkxoNs8,"Understand the significance and outline of health promotion measures such as the Health Promotion Act (August 2, 2002) and promotion of good nutrition, physical activity, rest, etc.",JnH_3oU
SO-01-03-03,JkxoNtA,Understand fundamental systems and laws related to community health.,JnH_3oU
SO-01-03-04,JtPHo-Q,"Understand the significance of mental health and welfare for people with mental disabilities, and related systems and laws.",JnH_3oU
SO-01-03-05,JtPHo-Y,"Understand the significance and outline of maternal and child health measures, including relevant laws such as the Basic Law for Child and Maternal Health and Child Development (December 14, 2018), Maternal and Child Health Law (August 18, 1965), Maternal Health Act (July 13, 1948), Child Welfare Act (December 12, 1947), and Child Abuse Prevention and Treatment Act (May 24, 2000).",JnH_3oU
SO-01-03-06,JtPHo-c,"Understand the significance and outline of school health, including the School Health and Safety Act (May 10, 1958), the role of school physicians, and infectious disease in schools.",JnH_3oU
SO-01-04-01,JkxoNtY,"Understand the basic concept of occupational health, including its significance and the three pillars of management (working environment management, work practice management, and health management).",JnH_3oY
SO-01-04-02,JkxoNtc,Understand fundamental systems and laws related to occupational and environmental health.,JnH_3oY
SO-01-04-03,JkxoNtg,Understand occupational accidents and occupational diseases and their countermeasures.,JnH_3oY
SO-01-04-04,JkxoNtk,Understand industrial poisoning caused by hazardous substances and its countermeasures.,JnH_3oY
SO-01-05-01,JkxoNtw,Understand the concept and types of health crises and how to respond to them (including risk communication).,JnH_3og
SO-01-05-02,JkxoNt4,"Understand fundamental systems and laws related to health crisis management (contingencies for emergencies such as infectious diseases, radiation accidents, and disasters).",JnH_3og
SO-01-05-03,JkxoNuE,"Understand the significance of disaster health care, including disaster base hospitals and various activity teams.",JnH_3og
SO-02-01-01,JkxoNuM,Understand major demographic statistics (static and dynamic populations) and classifications and statistics of diseases and disabilities (such as the International Statistical Classification of Diseases and Related Health Problems [ICD]).,JnH_3ok
SO-02-01-02,JkxoNuQ,Explain average life expectancy and healthy life expectancy.,JnH_3ok
SO-02-02-01,JkxoNuY,Understand the roles of epidemiology from public health and clinical perspectives.,JnH_3os
SO-02-02-02,JkxoNuc,"Understand the difference between proportions, ratios, and rates and typical epidemiological indicators (e.g., prevalence, risk ratios, incidence rates).",JnH_3os
SO-02-02-03,JkxoNug,Give examples of major biases and confounding.,JnH_3os
SO-02-02-04,JkxoNuk,Explain the difference between direct and indirect methods in age-adjustment.,JnH_3os
SO-02-02-05,JkxoNuo,"Understand the main epidemiologic study designs: observational (descriptive, cross-sectional, case-control, cohort) and interventional (randomized controlled trials, etc.).",JnH_3os
SO-02-02-06,JkxoNus,Understand epidemiologic approaches specific to acute infectious diseases.,JnH_3os
SO-02-02-07,JkxoNuw,Support stakeholders in making decisions that have an impact on the population while taking into account the limitations of the evidence.,JnH_3os
SO-02-03-01,JkxoNu0,"Describe scales (interval, ratio, ordinal, nominal).",JnH_3ow
SO-02-03-02,JkxoNu4,Explain the distribution of data (including missing values).,JnH_3ow
SO-02-03-03,JkxoNu8,Explain confidence intervals for the population mean of a normal distribution.,JnH_3ow
SO-02-03-04,JkxoNvA,"Perform correlation analysis, statistical tests (mean, proportion), etc.",JnH_3ow
SO-02-03-05,JkxoNvE,Understand the significance of multivariate analysis.,JnH_3ow
SO-03-01-01,JkxoNvI,"Understand vegetative state, brain death, cardiac death, and determination of brain death.",JnH_3o4
SO-03-01-02,JkxoNvM,Understand how to handle unusual deaths and coroner’s inquests.,JnH_3o4
SO-03-01-03,JkxoNvQ,Prepare death certificates or certificates of postmortem examination.,JnH_3o4
SO-03-01-04,JkxoNvU,Understand forensic identification methods.,JnH_3o4
SO-03-01-05,JkxoNvY,"Understand pathological autopsy and forensic autopsy (judicial autopsy, administrative autopsy, death investigation and identification autopsy, and autopsy with consent.)",JnH_3o4
SO-04-01-01,JkxoNvk,Support people to extend their healthy life expectancy.,JnH_3o8
SO-04-01-02,JkxoNvo,"Act with an understanding of concepts related to disability and social environments, such as barrier-free access.",JnH_3o8
SO-04-02-01,JkxoNvs,"Work proactively to eliminate gender inequality, such as discrimination against women and the LGBTQ community.",JnH_3pE
SO-04-03-01,JkxoNvw,"Understand the relationship between climate change and health care, and envisage how health issues facing patients could be associated with climate change.",JnH_3pM
SO-04-03-02,JkxoNv0,"Understand the role of physicians when natural disasters occur, including the spread of emerging infectious diseases.",JnH_3pM
SO-04-04-01,JkxoNv8,Understand an overview of the concepts and terminology in contemporary thought and philosophy.,JnH_3pQ
SO-04-05-01,JmiaT00,"Relativize contemporary medical issues, reflecting on the historical evolution and transition of medicine and medical practice.",JnH_3pY
SO-04-06-01,JmiaT1A,Understand the influence of economics on medical practice.,JnH_3pc
SO-04-07-01,JtPHxa8,"Describe one’s opinion, considering what equity is in distributing health care resources.",JtPHwC4
SO-05-01-01,JkxoNwM,"Understand the professional rights and duties of physicians as defined by the Medical Practitioners’ Act (July 30, 1948).",JnH_3pk
SO-05-01-02,JkxoNwQ,Explain the laws and systems governing the medical profession.,JnH_3pk
SO-05-01-03,JkxoNwU,"Understand the types and functions of medical institutions defined by the Medical Care Act (July 30, 1948).",JnH_3pk
SO-05-01-04,JkxoNwY,Understand an overview of medical care plans (as defined by the Medical Care Act).,JnH_3pk
SO-05-01-05,Jk31tVk,Understand an overview of how problems in regional medical care delivery are related to each other.,JnH_3pk
SO-05-01-06,Jk31tVo,Express one’s own opinions about the medical care delivery system and the way physicians work.,JnH_3pk
SO-05-02-01,JkxoNwc,"Understand an overview of medical and health issues in global health, including their historical and social contexts.",JnH_3po
SO-05-02-02,JkxoNwo,"Understand the significance of universal health coverage, and give examples of problems faced by health care systems around the world.",JnH_3po
SO-05-02-03,JkxoNws,Understand an overview of health-related United Nations development goals and international organizations and groups involved in international collaboration in global health.,JnH_3po
SO-06-01-01,JkxoNxQ,"Explore the ways patients perceive health, illness, and death in various situations, including in their daily lives and in healthcare settings such as outpatient/inpatient care, home care, and nursing care.",JnH_3pw
SO-06-01-02,JkxoNxU,"Understand and explain the structure of phenomena related to medical practice with respect to historical trends, social circumstances, and relevant systems.",JnH_3pw
SO-06-01-03,JkxoNxc,"Understand the influence of culture and customs on individuals and groups (e.g., methods of communication).",JnH_3pw
